Ticker,Industry_ICB_L2
TNI,Tài nguyên Cơ bản
TNT,Tài nguyên Cơ bản
TOS,Dầu khí
TRC,Hóa chất
TSC,Hóa chất
TTA,"Điện, nước & xăng dầu khí đốt"
TTF,Tài nguyên Cơ bản
TTH,Tài nguyên Cơ bản
TTN,Viễn thông
TV1,Hàng & Dịch vụ Công nghiệp
TV2,Hàng & Dịch vụ Công nghiệp
TVN,Tài nguyên Cơ bản
VC2,Xây dựng và Vật liệu
VC3,Bất động sản
VC7,Xây dựng và Vật liệu
VCG,Xây dựng và Vật liệu
VCP,"Điện, nước & xăng dầu khí đốt"
VCR,Bất động sản
VCS,Xây dựng và Vật liệu
VDP,Y tế
VE9,Xây dựng và Vật liệu
VEA,Hàng & Dịch vụ Công nghiệp
VEF,Bất động sản
VFG,Hóa chất
VGC,Xây dựng và Vật liệu
VGI,Viễn thông
VGR,Hàng & Dịch vụ Công nghiệp
VGS,Tài nguyên Cơ bản
VGT,Hàng cá nhân & Gia dụng
VHC,Thực phẩm và đồ uống
VHE,Y tế
VHG,Hàng & Dịch vụ Công nghiệp
VHM,Bất động sản
VIC,Bất động sản
VIP,Hàng & Dịch vụ Công nghiệp
VJC,Du lịch và Giải trí
VLB,Xây dựng và Vật liệu
VLC,Thực phẩm và đồ uống
VMS,Hàng & Dịch vụ Công nghiệp
VNB,Truyền thông
VNE,Xây dựng và Vật liệu
VNM,Thực phẩm và đồ uống
VNS,Du lịch và Giải trí
VNZ,Truyền thông
VOC,Thực phẩm và đồ uống
VOS,Hàng & Dịch vụ Công nghiệp
VPG,Tài nguyên Cơ bản
VPH,Bất động sản
VPI,Bất động sản
VPL,Du lịch và Giải trí
VRC,Bất động sản
VRE,Bất động sản
VRG,Bất động sản
VSC,Hàng & Dịch vụ Công nghiệp
VSI,Xây dựng và Vật liệu
VTD,Du lịch và Giải trí
VTO,Hàng & Dịch vụ Công nghiệp
VTP,Hàng & Dịch vụ Công nghiệp
VTR,Du lịch và Giải trí
VTZ,Hóa chất
VVS,Ô tô và phụ tùng
YEG,Truyền thông
YTC,Y tế
